age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,balance_log
33,admin.,married,tertiary,no,882,no,no,telephone,21,oct,39,1,151,3,failure,0,6.78332520060396
42,admin.,single,secondary,no,-247,yes,yes,telephone,21,oct,519,1,166,1,other,1,0.0
33,services,married,secondary,no,3444,yes,no,telephone,21,oct,144,1,91,4,failure,1,8.144679183447758
36,management,married,tertiary,no,2415,yes,no,telephone,22,oct,73,1,86,4,other,0,7.789868559054706
36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,1,0.0
44,blue-collar,married,secondary,no,1324,yes,no,telephone,25,oct,119,1,89,2,other,0,7.1891677384203225
26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other,0,5.153291594497779
51,admin.,single,secondary,no,3132,no,no,telephone,5,nov,449,1,176,1,failure,0,8.049746290952191
33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,0,6.913737350659685
30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,119,1,167,3,success,0,6.773080375655535
30,management,single,tertiary,no,1243,yes,no,telephone,13,nov,86,1,174,1,failure,0,7.126087273299125
44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,0,7.397561535524052
51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,0,4.787491742782046
51,technician,married,secondary,no,58,yes,no,cellular,17,nov,79,1,129,2,failure,0,4.07753744390572
44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,0,8.73294952429643
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,0,4.663439094112067
49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,0,7.335633981927201
47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,80,1,118,1,failure,0,5.43372200355424
40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,0,7.392647520721623
47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,297,1,119,3,failure,0,7.3031700512368
38,management,married,tertiary,no,494,no,no,cellular,17,nov,146,1,104,2,other,0,6.20455776256869
54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,0,5.293304824724492
52,management,married,tertiary,no,1701,yes,yes,cellular,17,nov,381,1,117,2,other,0,7.43955930913332
48,admin.,divorced,secondary,no,295,yes,no,cellular,17,nov,123,1,164,2,success,0,5.69035945432406
45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,75,1,132,1,failure,0,7.298445101508147
39,admin.,married,secondary,no,401,yes,no,cellular,17,nov,396,1,129,2,failure,0,5.996452088619021
39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,96,1,131,1,failure,0,8.109224953089955
37,management,married,tertiary,yes,0,no,no,cellular,17,nov,44,1,123,2,failure,0,0.0
49,management,married,tertiary,no,64,no,no,cellular,17,nov,208,1,159,1,success,0,4.174387269895637
43,technician,married,secondary,no,1865,yes,no,cellular,17,nov,155,1,186,1,failure,0,7.531552381407289
35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,74,1,167,16,other,0,7.449498005382849
50,management,married,secondary,no,633,no,yes,telephone,17,nov,302,1,111,6,failure,0,6.452048954437226
42,technician,single,tertiary,no,35,yes,yes,cellular,17,nov,38,1,115,5,other,0,3.58351893845611
56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,38,1,172,2,failure,0,7.919356190660617
51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,0,5.3471075307174685
50,technician,single,secondary,no,246,yes,no,cellular,17,nov,270,1,123,2,failure,0,5.5093883366279774
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,0,7.255591274253665
40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,68,2,173,1,failure,0,8.659907293615413
30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,0,4.624972813284271
39,management,married,tertiary,no,500,yes,no,cellular,17,nov,257,1,178,2,other,0,6.2166061010848646
36,management,married,tertiary,no,5057,yes,no,cellular,17,nov,70,1,166,10,failure,0,8.52872642722991
34,housemaid,married,tertiary,no,1265,yes,no,cellular,17,nov,118,1,164,3,failure,0,7.143617602704121
59,management,married,tertiary,no,0,no,no,cellular,17,nov,90,2,110,2,failure,0,0.0
53,services,married,secondary,no,1364,no,no,cellular,17,nov,508,1,115,1,failure,0,7.21890970761906
46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure,0,3.8501476017100584
52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,0,8.598588829620232
56,technician,divorced,secondary,no,689,yes,no,cellular,17,nov,110,1,103,4,failure,0,6.536691597591305
34,admin.,single,secondary,no,0,yes,no,cellular,17,nov,214,1,174,2,failure,0,0.0
32,admin.,single,secondary,no,4344,yes,no,cellular,17,nov,79,2,118,3,failure,0,8.376781037699493
59,retired,divorced,secondary,no,514,yes,no,cellular,17,nov,573,1,188,1,other,0,6.244166900663736
59,management,married,primary,no,252,yes,yes,cellular,17,nov,138,1,175,2,failure,0,5.53338948872752
40,technician,married,secondary,no,0,yes,no,cellular,17,nov,74,2,196,1,failure,0,0.0
43,technician,divorced,secondary,no,-36,yes,no,cellular,17,nov,190,1,104,1,failure,0,0.0
43,technician,married,secondary,no,0,no,yes,cellular,17,nov,103,2,193,3,failure,0,0.0
55,entrepreneur,divorced,tertiary,no,1730,no,no,cellular,17,nov,89,2,118,3,failure,0,7.456454555176209
49,services,married,secondary,no,202,yes,no,cellular,17,nov,651,2,104,1,failure,1,5.313205979041787
49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,nov,42,2,188,2,failure,0,5.749392985908253
39,blue-collar,single,primary,no,419,yes,no,cellular,17,nov,186,1,181,1,failure,0,6.040254711277414
42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,103,4,success,0,9.566825297862628
56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,80,2,165,2,other,0,7.147559271189454
44,admin.,married,secondary,no,4826,yes,no,cellular,17,nov,102,1,185,4,other,0,8.481980435660493
42,services,married,secondary,no,1048,yes,no,cellular,17,nov,71,1,186,1,failure,0,6.955592608396297
41,technician,married,secondary,no,112,yes,no,cellular,17,nov,1081,1,131,1,failure,0,4.727387818712341
51,technician,married,secondary,no,563,yes,no,cellular,17,nov,504,1,123,3,failure,0,6.335054251498059
36,blue-collar,married,secondary,no,1797,yes,yes,cellular,17,nov,166,1,181,2,failure,0,7.494430215031565
52,technician,married,tertiary,no,3440,yes,no,cellular,17,nov,124,1,131,1,failure,0,8.14351740579748
42,entrepreneur,married,tertiary,no,373,no,no,cellular,17,nov,174,1,154,3,failure,0,5.924255797414532
45,technician,married,secondary,no,2020,yes,no,cellular,17,nov,62,1,131,1,failure,0,7.611347717403621
35,entrepreneur,married,secondary,no,24,yes,no,cellular,17,nov,128,1,181,1,failure,0,3.2188758248682006
38,management,married,tertiary,no,425,yes,no,cellular,17,nov,240,1,181,1,failure,0,6.054439346269371
47,technician,married,secondary,no,80,no,yes,cellular,17,nov,74,1,145,1,failure,0,4.394449154672439
43,self-employed,married,secondary,no,634,yes,no,cellular,17,nov,65,1,131,1,failure,0,6.453624998892692
33,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,809,3,181,1,other,0,0.0
40,blue-collar,single,secondary,no,677,yes,no,cellular,17,nov,619,1,171,5,other,0,6.519147287940395
54,technician,married,secondary,no,899,no,yes,cellular,17,nov,61,1,145,1,other,0,6.802394763324311
50,management,married,tertiary,no,830,no,no,cellular,17,nov,71,1,138,2,failure,0,6.7226297948554485
54,services,married,secondary,no,2719,yes,no,cellular,17,nov,166,2,171,2,failure,0,7.908387159290043
44,unemployed,married,secondary,no,0,yes,no,cellular,17,nov,58,1,195,2,failure,0,0.0
43,blue-collar,divorced,secondary,no,-259,no,no,cellular,17,nov,732,1,171,2,other,0,0.0
51,management,married,tertiary,no,248,yes,yes,cellular,17,nov,139,2,126,3,failure,0,5.517452896464707
51,technician,married,secondary,no,12061,yes,no,cellular,17,nov,150,1,188,1,failure,0,9.397815294010933
42,technician,single,secondary,no,-15,no,no,cellular,17,nov,89,1,145,1,failure,0,0.0
46,services,divorced,secondary,no,0,no,no,cellular,17,nov,407,1,150,3,success,0,0.0
50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure,0,1.6094379124341003
44,management,married,tertiary,no,1451,yes,no,cellular,17,nov,157,3,150,12,failure,0,7.280697195384741
41,unemployed,married,primary,no,557,yes,no,cellular,17,nov,158,1,173,1,failure,0,6.324358962381311
37,management,single,tertiary,no,600,yes,no,cellular,17,nov,116,2,196,1,failure,0,6.398594934535208
53,admin.,married,secondary,no,350,no,yes,cellular,17,nov,113,3,132,2,failure,0,5.860786223465865
53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,99,1,126,3,failure,0,5.517452896464707
52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,189,2,111,4,failure,0,7.506042178518122
36,management,divorced,tertiary,no,3837,yes,no,cellular,17,nov,184,1,193,1,success,0,8.252706676567644
37,admin.,married,tertiary,no,0,yes,no,cellular,17,nov,65,2,119,1,failure,0,0.0
44,management,married,tertiary,no,58,yes,no,cellular,17,nov,48,1,126,3,failure,0,4.07753744390572
59,management,divorced,tertiary,no,3552,yes,no,cellular,17,nov,690,1,123,7,other,0,8.175547596021026
32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,195,2,failure,0,0.0
41,management,married,tertiary,no,20,yes,no,cellular,17,nov,99,1,151,2,failure,0,3.044522437723423
37,services,married,secondary,yes,-954,yes,no,cellular,17,nov,69,1,180,3,failure,0,0.0
43,housemaid,married,primary,no,0,no,yes,cellular,17,nov,836,1,129,2,failure,0,0.0
51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,195,1,failure,0,5.442417710521793
56,management,married,tertiary,no,505,yes,yes,cellular,17,nov,171,1,172,2,failure,0,6.226536669287466
44,services,married,secondary,no,3843,yes,no,cellular,17,nov,70,1,150,2,other,0,8.254268770090183
56,management,single,primary,no,109,no,yes,telephone,17,nov,124,1,129,18,other,0,4.700480365792417
39,self-employed,married,tertiary,no,5,yes,no,cellular,17,nov,118,2,131,1,other,0,1.791759469228055
38,technician,married,secondary,no,821,yes,yes,cellular,17,nov,224,2,180,1,failure,0,6.71174039505618
42,technician,married,primary,no,275,no,no,cellular,17,nov,295,2,109,9,failure,0,5.62040086571715
34,management,single,tertiary,no,1049,yes,no,cellular,17,nov,101,2,129,1,failure,0,6.956545443151569
38,blue-collar,married,primary,no,0,yes,no,cellular,17,nov,78,2,193,2,failure,0,0.0
53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,1091,2,150,1,success,1,7.727535110475448
41,blue-collar,married,secondary,no,271,yes,no,cellular,17,nov,148,2,172,2,failure,0,5.605802066295998
48,management,divorced,tertiary,no,-478,yes,no,cellular,17,nov,87,5,167,6,failure,0,0.0
54,management,married,tertiary,no,3795,yes,yes,cellular,17,nov,227,2,119,1,failure,0,8.241703159729818
55,entrepreneur,married,secondary,no,653,yes,no,cellular,17,nov,193,2,186,1,failure,0,6.483107351457199
38,technician,single,secondary,no,1255,yes,no,cellular,17,nov,151,2,171,2,failure,0,7.135687347028144
50,technician,divorced,secondary,no,-403,no,yes,cellular,17,nov,130,2,119,2,failure,0,0.0
42,unemployed,married,primary,no,2636,no,no,cellular,17,nov,178,2,151,1,failure,0,7.877397186353287
40,housemaid,married,secondary,no,1029,yes,yes,cellular,17,nov,117,2,117,3,failure,0,6.937314081223682
38,admin.,married,secondary,no,0,no,no,telephone,17,nov,599,2,158,8,other,0,0.0
57,management,married,secondary,no,1502,no,no,telephone,17,nov,340,2,109,11,failure,0,7.315218389752975
30,technician,single,secondary,no,426,yes,no,telephone,17,nov,127,4,111,6,failure,0,6.056784013228625
56,management,single,secondary,no,237,yes,no,telephone,17,nov,117,3,131,4,failure,0,5.472270673671475
39,technician,married,secondary,no,8,no,yes,cellular,17,nov,333,2,96,2,failure,0,2.1972245773362196
43,services,divorced,secondary,no,1043,yes,no,cellular,17,nov,57,4,119,3,failure,0,6.950814768442584
42,services,married,secondary,no,1027,yes,no,telephone,17,nov,188,2,168,2,failure,0,6.93537044601511
44,management,married,tertiary,no,724,yes,no,cellular,17,nov,157,2,172,1,failure,0,6.586171654854675
36,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,273,2,131,1,failure,0,0.0
40,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,0,5.393627546352362
43,management,married,tertiary,no,2767,yes,no,cellular,17,nov,374,1,186,7,failure,0,7.92588031673756
40,technician,married,secondary,no,1269,yes,no,cellular,17,nov,353,1,172,1,failure,0,7.146772179452637
56,services,married,secondary,no,1150,no,yes,cellular,17,nov,107,1,117,3,failure,0,7.048386408721883
37,technician,married,secondary,no,5115,yes,no,cellular,17,nov,1210,2,171,4,failure,1,8.540128162698734
56,management,single,tertiary,no,1092,yes,yes,cellular,17,nov,176,3,186,4,failure,0,6.996681488176539
37,management,married,secondary,no,121,no,yes,cellular,17,nov,211,2,151,2,failure,0,4.804021044733257
58,blue-collar,divorced,secondary,no,644,no,yes,cellular,17,nov,220,4,109,4,failure,0,6.4692503167957724
45,entrepreneur,married,secondary,no,781,no,yes,cellular,17,nov,652,2,126,2,failure,1,6.661854740545311
50,technician,married,secondary,no,0,yes,no,cellular,17,nov,114,4,168,2,failure,0,0.0
46,admin.,married,secondary,no,4958,yes,no,cellular,17,nov,64,3,150,5,other,0,8.508959386489133
35,services,divorced,secondary,no,204,yes,no,cellular,17,nov,295,1,186,9,other,0,5.3230099791384085
40,blue-collar,married,secondary,no,755,no,no,cellular,17,nov,408,1,117,1,failure,0,6.628041376179533
43,technician,married,tertiary,no,1201,yes,yes,cellular,18,nov,82,1,97,3,failure,0,7.091742115095153
40,self-employed,married,tertiary,no,3059,yes,yes,cellular,18,nov,41,1,182,1,failure,0,8.026170194946426
36,housemaid,married,primary,no,4324,yes,no,cellular,18,nov,139,4,127,4,failure,0,8.37216741936598
44,management,married,tertiary,no,756,yes,no,cellular,18,nov,65,1,130,2,failure,0,6.6293632534374485
37,blue-collar,married,secondary,no,723,yes,no,cellular,18,nov,119,1,110,2,failure,0,6.584791392385716
37,technician,married,secondary,no,195,yes,no,cellular,18,nov,68,1,194,2,failure,0,5.278114659230517
41,technician,married,secondary,no,3275,yes,no,cellular,18,nov,121,1,168,1,other,0,8.09437844497296
42,entrepreneur,married,tertiary,no,2249,yes,no,telephone,18,nov,228,1,125,5,failure,0,7.718685495198466
53,technician,married,secondary,no,137,no,yes,cellular,18,nov,52,1,176,1,failure,0,4.927253685157205
44,technician,married,secondary,no,10888,yes,no,cellular,18,nov,67,1,105,1,failure,0,9.29550838434606
41,admin.,married,secondary,no,4320,yes,no,cellular,18,nov,164,1,166,2,failure,0,8.371242135931933
41,blue-collar,married,primary,no,1461,yes,no,cellular,18,nov,290,1,165,2,success,0,7.2875606403097235
48,management,married,secondary,no,4415,yes,no,cellular,18,nov,271,1,102,6,failure,0,8.392989587956931
58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,0,9.142061531222888
56,technician,married,secondary,no,589,yes,no,cellular,18,nov,208,1,26,3,success,0,6.380122536899765
34,blue-collar,married,secondary,no,559,yes,no,telephone,18,nov,47,1,193,1,other,0,6.327936783729195
39,admin.,single,tertiary,no,283,yes,no,cellular,18,nov,346,1,179,3,other,0,5.648974238161206
36,technician,married,secondary,no,154,yes,no,cellular,18,nov,231,1,96,2,other,0,5.043425116919247
47,management,divorced,tertiary,no,428,yes,no,cellular,18,nov,116,1,167,1,other,0,6.061456918928017
42,admin.,single,secondary,no,-247,yes,yes,cellular,18,nov,104,2,28,2,success,0,0.0
37,technician,married,secondary,no,0,yes,no,cellular,18,nov,173,1,179,6,failure,0,0.0
35,management,single,secondary,no,5260,yes,no,cellular,18,nov,59,1,182,2,failure,0,8.568076401730806
33,technician,single,secondary,no,1769,yes,no,cellular,18,nov,273,1,182,1,failure,0,7.478734825567875
46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,50,1,183,2,failure,0,8.366835309827675
46,technician,married,secondary,no,68,yes,yes,cellular,18,nov,111,2,155,3,failure,0,4.23410650459726
36,admin.,divorced,secondary,no,454,yes,no,cellular,18,nov,165,1,131,1,failure,0,6.12029741895095
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276,1,195,1,failure,0,3.9889840465642745
38,management,single,tertiary,no,1515,yes,no,cellular,18,nov,134,1,110,5,failure,0,7.323830566202317
37,housemaid,single,tertiary,no,561,no,no,cellular,18,nov,188,1,165,2,failure,0,6.331501849893691
59,entrepreneur,married,secondary,no,2429,no,yes,cellular,18,nov,79,2,182,7,failure,0,7.795646536334594
40,services,divorced,secondary,no,1155,no,yes,cellular,18,nov,175,1,138,1,failure,0,7.052721049232323
59,blue-collar,married,primary,no,14,yes,yes,cellular,18,nov,319,2,182,1,failure,0,2.70805020110221
36,management,single,tertiary,no,0,no,yes,cellular,18,nov,300,1,96,4,failure,0,0.0
51,blue-collar,married,primary,no,1194,yes,no,cellular,18,nov,714,1,186,3,failure,0,7.085901464365611
45,blue-collar,single,secondary,no,91,no,yes,cellular,18,nov,149,1,127,2,failure,0,4.5217885770490405
38,management,single,tertiary,no,427,yes,no,cellular,18,nov,253,1,182,1,failure,0,6.059123195581797
42,blue-collar,married,secondary,no,1958,yes,no,cellular,18,nov,129,1,172,3,failure,0,7.580189417944541
30,technician,single,tertiary,no,3,yes,no,cellular,18,nov,54,1,195,1,failure,0,1.3862943611198906
51,self-employed,married,tertiary,no,146,no,no,cellular,18,nov,150,2,126,3,failure,0,4.990432586778736
37,management,married,tertiary,no,3770,yes,no,cellular,18,nov,106,1,110,4,failure,0,8.235095497258357
41,services,married,secondary,no,446,yes,no,cellular,18,nov,296,1,186,1,success,0,6.102558594613569
33,admin.,divorced,secondary,no,661,yes,no,cellular,18,nov,411,1,173,2,other,0,6.495265555937008
30,technician,single,secondary,no,4787,yes,no,cellular,18,nov,266,1,167,2,failure,0,8.473868066677865
36,technician,married,secondary,no,1345,yes,no,cellular,18,nov,82,1,172,3,failure,0,7.204892510204673
58,management,married,tertiary,no,0,yes,no,cellular,18,nov,265,1,188,1,failure,0,0.0
42,blue-collar,married,primary,no,2273,yes,no,cellular,18,nov,253,1,112,2,failure,0,7.729295674310482
41,blue-collar,married,secondary,no,1100,yes,no,cellular,18,nov,397,1,173,2,failure,0,7.00397413672268
43,technician,married,secondary,no,764,yes,no,cellular,18,nov,164,5,127,5,failure,0,6.639875833826536
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,596,1,182,1,other,1,7.3098814858247865
48,services,married,secondary,no,2877,yes,no,cellular,18,nov,77,1,168,1,failure,0,7.964850887447313
30,technician,single,secondary,yes,-305,no,yes,cellular,18,nov,37,1,96,6,failure,0,0.0
31,technician,married,tertiary,no,26,no,yes,cellular,18,nov,419,1,127,6,other,1,3.295836866004329
43,technician,single,secondary,yes,685,yes,no,cellular,18,nov,78,1,110,2,failure,0,6.530877627725885
34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,162,1,173,3,failure,0,2.3978952727983707
35,management,married,tertiary,no,1041,no,no,cellular,18,nov,586,1,120,3,other,0,6.948897222313312
36,admin.,single,secondary,no,1927,yes,no,cellular,18,nov,288,1,137,1,other,0,7.564238475170491
44,management,married,primary,no,1880,yes,no,cellular,18,nov,34,1,124,6,failure,0,7.53955882930103
45,technician,divorced,secondary,no,5862,yes,no,cellular,18,nov,352,1,110,3,other,0,8.676416696964216
36,management,married,tertiary,no,0,yes,no,cellular,18,nov,103,1,175,2,failure,0,0.0
33,blue-collar,married,secondary,no,596,yes,no,cellular,18,nov,77,1,127,3,failure,0,6.391917113392602
47,admin.,married,secondary,no,829,yes,yes,cellular,18,nov,48,1,188,1,failure,0,6.721425700790643
47,blue-collar,married,secondary,no,3237,yes,no,cellular,18,nov,38,1,187,3,failure,0,8.08271113423758
35,technician,married,secondary,no,222,yes,no,cellular,18,nov,233,1,190,6,failure,0,5.407171771460119
39,admin.,married,secondary,no,3732,yes,no,cellular,18,nov,515,1,181,2,failure,0,8.224967478914584
39,self-employed,married,tertiary,no,585,yes,no,cellular,18,nov,48,1,181,3,failure,0,6.373319789577012
31,services,single,secondary,no,2038,yes,no,cellular,18,nov,239,1,182,1,failure,0,7.620214770574455
37,unemployed,single,tertiary,no,1316,yes,no,cellular,18,nov,389,1,172,2,failure,0,7.183111701743281
50,technician,married,secondary,no,-353,yes,yes,cellular,18,nov,162,1,175,2,failure,0,0.0
39,management,divorced,tertiary,no,5009,yes,no,cellular,18,nov,255,1,126,2,failure,0,8.51919119407891
56,admin.,divorced,secondary,no,0,no,no,cellular,18,nov,100,1,154,2,failure,0,0.0
30,admin.,divorced,secondary,no,83,yes,yes,cellular,18,nov,118,2,196,1,failure,0,4.430816798843313
45,blue-collar,married,primary,no,147,yes,no,cellular,18,nov,226,1,168,2,failure,0,4.997212273764115
33,blue-collar,married,secondary,no,157,yes,no,cellular,18,nov,110,1,182,1,failure,0,5.062595033026967
45,technician,married,secondary,no,3395,yes,no,cellular,18,nov,92,1,188,1,failure,0,8.130353547431238
39,housemaid,married,primary,no,694,yes,yes,cellular,18,nov,91,1,168,2,other,0,6.543911845564792
37,blue-collar,single,secondary,no,690,yes,no,cellular,18,nov,105,1,179,2,failure,0,6.53813982376767
37,services,single,secondary,no,54,yes,no,cellular,18,nov,328,2,131,1,failure,0,4.007333185232471
33,technician,single,tertiary,no,179,yes,no,cellular,18,nov,432,2,181,4,other,0,5.19295685089021
40,services,single,secondary,no,326,yes,no,cellular,18,nov,124,1,175,1,failure,0,5.7899601708972535
45,technician,married,secondary,no,1441,yes,no,cellular,18,nov,93,1,113,2,other,0,7.273786317844895
39,technician,married,secondary,no,484,no,yes,cellular,18,nov,61,1,113,3,other,0,6.184148890937483
38,blue-collar,married,secondary,no,-288,yes,yes,cellular,18,nov,68,1,165,2,failure,0,0.0
41,technician,married,secondary,no,2123,no,no,cellular,18,nov,232,1,102,2,failure,0,7.66105638236183
44,technician,married,secondary,no,1901,no,no,cellular,18,nov,143,3,104,2,failure,0,7.550661243105336
41,blue-collar,married,secondary,no,1954,no,no,cellular,18,nov,65,1,110,2,success,0,7.578145472419466
45,management,single,tertiary,no,16,no,no,cellular,18,nov,100,1,110,2,failure,0,2.833213344056216
34,management,divorced,tertiary,no,5754,yes,no,cellular,18,nov,32,1,181,1,failure,0,8.657824321155983
52,admin.,divorced,secondary,no,2717,no,no,telephone,18,nov,114,1,162,2,failure,0,7.907651594711089
43,entrepreneur,single,primary,no,103,yes,no,cellular,18,nov,53,1,183,5,failure,0,4.6443908991413725
37,management,married,primary,no,5427,no,no,cellular,18,nov,201,1,159,1,failure,0,8.59932602095476
37,management,single,tertiary,no,1743,yes,no,cellular,18,nov,192,1,113,2,failure,0,7.463936604468925
48,blue-collar,married,primary,no,1092,no,yes,cellular,18,nov,79,1,172,8,failure,0,6.996681488176539
35,management,married,tertiary,no,4943,yes,no,cellular,18,nov,295,1,124,2,failure,0,8.505929999137527
42,management,married,tertiary,no,2110,no,yes,cellular,18,nov,67,1,110,2,failure,0,7.65491704784832
34,management,married,tertiary,no,63,no,no,cellular,18,nov,83,1,102,2,failure,0,4.1588830833596715
